M,R
14.819,2.938119020152569
14.817,2.937971623158284
14.814,2.9377410744364925
14.812,2.937591801964291
14.809,2.9373594452354594
14.807,2.937208330979909
14.804,2.9369741964438725
14.802,2.936821270888737
14.799,2.936585383329575
14.797,2.93643067009356
14.794,2.936193056503147
14.792,2.936036579795715
14.789,2.935797261330738
14.787,2.9356390472603864
14.784,2.935398046779938
14.782,2.935238116175393
14.78,2.9350772986203415
14.777,2.934833820796025
14.775,2.9346713105942515
14.772,2.934426187553896
14.77,2.9342619999832604
14.767,2.9340152477814008
14.765,2.933849402039162
14.763,2.9336826977508625
14.76,2.9334335505131213
14.758,2.9332652167016806
14.755,2.933014483139042
14.753,2.932844536393601
14.751,2.932673758333972
14.748,2.9324206973025992
14.746,2.9322483435559894
14.743,2.9319937514358156
14.741,2.9318198475282427
14.739,2.93164514437489
14.736,2.9313883149499045
14.734,2.9312120953570435
14.732,2.931035092002414
14.729,2.930776070937805
14.727,2.9305975832896443
14.724,2.9303371106730114
14.722,2.930157158874789
14.72,2.9299764476691634
14.717,2.9297138517955523
14.715,2.929531698819151
14.713,2.9293487977970556
14.71,2.929084103994447
14.708,2.928899782291457
14.706,2.92871472169755
14.703,2.9284479610095846
14.701,2.9282615034839297
14.699,2.9280743209932067
14.696,2.9278055244125802
14.694,2.9276169677842727
14.692,2.927427697140271
14.689,2.927156898721497
14.687,2.9269662799054172
14.685,2.9267749631285502
14.682,2.9265022044044873
14.68,2.9263095723792634
14.678,2.9261162591846346
14.675,2.9258415816766483
14.673,2.92564697936476
14.671,2.9254517109659917
14.669,2.925255779271007
14.666,2.9249786233359663
14.664,2.924781438160229
14.662,2.9245836052862666
14.659,2.924304615921228
14.657,2.924105553533686
14.655,2.9239058533104885
14.653,2.923705516981209
14.65,2.9234241467563136
14.648,2.923222604494485
14.646,2.9230204370316786
14.644,2.9228176486585626
14.641,2.9225339408932487
14.639,2.9223299702307077
14.637,2.922125389320862
14.635,2.921920200933896
14.632,2.9216342043106036
14.63,2.921427862074364
14.628,2.921220921534083
14.626,2.921013388585616
14.623,2.9207251550177227
14.621,2.9205164996073725
14.619,2.9203072648766177
14.617,2.9200974548663523
14.615,2.919887074526888
14.612,2.9195961456509214
14.61,2.919384680565693
14.608,2.91917265626341
14.606,2.918960076617754
14.604,2.9187469447264816
14.601,2.918453408853273
14.599,2.918239229325948
14.597,2.9180245090950967
14.595,2.9178092490386507
14.593,2.9175934536630064
14.59,2.917297386835502
14.588,2.917080571504128
14.586,2.916863229253762
14.584,2.9166453623503323
14.582,2.9164269742643376
14.579,2.916128436982431
14.577,2.915909057549751
14.575,2.915689165373019
14.573,2.9154687632630587
14.571,2.915247854969086
14.569,2.915026442321305
14.566,2.9147250377024996
14.564,2.914502669492806
14.562,2.914279807173365
14.56,2.914056454875076
14.558,2.9138326152785243
14.556,2.9136082931060243
14.554,2.913383490932337
14.551,2.9130788857727965
14.549,2.9128531720975377
14.547,2.912626987750562
14.545,2.912400334644726
14.543,2.91217321737037
14.541,2.911945638382134
14.539,2.911717601466506
14.537,2.9114891092805637
14.534,2.911181022194914
14.532,2.910951662580161
14.53,2.910721855025764
14.528,2.910491603240684
14.526,2.9102609084986795
14.524,2.910029773407335
14.522,2.9097982011278822
14.52,2.9095661946162705
14.518,2.909333756701685
14.516,2.9091008902595603
14.513,2.9087886833008487
14.511,2.9085549975418297
14.509,2.9083208895426056
14.507,2.90808636304274
14.505,2.907851420631679
14.503,2.907616064129651
14.501,2.9073802969297255
14.499,2.9071441213781286
14.497,2.906907539361528
14.495,2.9066705547214338
14.493,2.906433168246698
14.491,2.906195383809414
14.489,2.9059572042698423
14.487,2.905718631945319
14.485,2.905479668194179
14.482,2.9051617410811845
14.48,2.9049220307242076
14.478,2.904681936109361
14.476,2.9044414597509576
14.474,2.9042006040707844
14.472,2.9039593721637855
14.47,2.903717766995142
14.468,2.9034757905909525
14.466,2.9032334445663257
14.464,2.902990733414535
14.462,2.9027476565900674
14.46,2.9025042188672683
14.458,2.9022604212624317
14.456,2.9020162669417955
14.454,2.901771757747305
14.452,2.9015268971443544
14.45,2.901281687257661
14.448,2.901036128760848
14.446,2.9007902243082726
14.444,2.900543976870086
14.442,2.9002973859661494
14.44,2.9000504558284805
14.438,2.8998031883063535
14.436,2.899555583121151
14.434,2.899307643326114
14.432,2.899059371927397
14.43,2.8988107699557046
14.428,2.898561839739098
14.426,2.8983125835674026
14.424,2.8980629989851927
14.422,2.8978130907530555
14.42,2.89756285922118
14.418,2.897312309073208
14.416,2.897061442576751
14.414,2.8968102603253825
14.412,2.896558766296884
14.41,2.8963069634310648
14.408,2.8960548511681763
14.406,2.8958024336764576
14.405,2.8956274456663595
14.403,2.895374408100228
14.401,2.8951210685240847
14.399,2.894867432958975
14.397,2.8946135052415207
14.395,2.8943592856122873
14.393,2.8941047773535757
14.391,2.8938499817405594
14.389,2.8935948991465477
14.387,2.893339531657003
14.385,2.8930838789710247
14.383,2.8928279435176374
14.381,2.8925717276669674
14.379,2.892315232420839
14.377,2.8920584580814475
14.375,2.8918014071879306
14.374,2.8916214886208187
14.372,2.891363877890285
14.37,2.891105993781458
14.368,2.8908478357457534
14.366,2.8905894054757972
14.364,2.890330704457044
14.362,2.890071735965459
14.36,2.8898125034250683
14.358,2.8895530056290664
14.356,2.8892932472329886
14.355,2.8891104290625322
14.353,2.888850144554115
14.351,2.888589606435992
14.349,2.8883288143619907
14.347,2.8880677709267664
14.345,2.88780647643253
14.343,2.8875449350687967
14.341,2.88728314871658
14.339,2.8870211211482544
14.338,2.886835880284461
14.336,2.8865733694554114
14.334,2.8863106210091742
14.332,2.8860476360652982
14.33,2.8857844166502056
14.328,2.8855209615349486
14.326,2.885257272610227
14.325,2.885070231909591
14.323,2.8848060770917017
14.321,2.8845416917264965
14.319,2.8842770796801482
14.317,2.8840122391598415
14.315,2.8837471726555943
14.313,2.883481879089523
14.312,2.883293104663626
14.31,2.883027355656769
14.308,2.8827613832730736
14.306,2.882495187501575
14.304,2.882228772314758
14.302,2.8819621398553132
14.301,2.881771918987491
14.299,2.8815048525789297
14.297,2.8812375755393647
14.295,2.8809700842336055
14.293,2.8807023835585372
14.292,2.880510992997
14.29,2.8802428764386985
14.288,2.879974555604585
14.286,2.879706031636526
14.284,2.879437307204905
14.282,2.8791683848692196
14.281,2.8789756814229017
14.279,2.878706366443831
14.277,2.87843685578185
14.275,2.8781671485248537
14.273,2.877897247730704
14.272,2.877703476166914
14.27,2.8774331950267023
14.268,2.877162722457104
14.266,2.8768920594822807
14.264,2.87662120939423
14.263,2.8764264029445643
14.261,2.876155182968029
14.259,2.8758837759531524
14.257,2.8756121846325513
