M,R
19.518,3.602100774664602
19.514,3.601315986506105
19.51,3.6005314918873723
19.506,3.599747295068295
19.502,3.5989633972489674
19.499,3.5982491285394476
19.495,3.59746581016376
19.491,3.5966827951295905
19.487,3.5959000845919995
19.483,3.59511768112783
19.48,3.594404783820779
19.476,3.593622978279835
19.472,3.592841484264432
19.468,3.59206029427875
19.465,3.5913484989837667
19.461,3.5905678931828087
19.457,3.5897875934224914
19.454,3.5890766161638075
19.45,3.5882969175561676
19.446,3.587517532791866
19.443,3.5868073989463984
19.439,3.5860286303733453
19.435,3.585250182172308
19.432,3.5845409160139123
19.428,3.583763098014945
19.425,3.583054410631881
19.421,3.5822772332493003
19.417,3.581500387798622
19.414,3.5807926077606087
19.41,3.5800164159047854
19.407,3.5793092392185852
19.403,3.5785337088894558
19.399,3.5777585192814074
19.396,3.5770522839663363
19.392,3.576277767977424
19.389,3.57557215773831
19.385,3.5747983336362847
19.382,3.574093394165469
19.378,3.5733203068319255
19.375,3.572616055570042
19.371,3.571843706946801
19.368,3.5711401471767097
19.364,3.5703685404254584
19.361,3.5696656767272574
19.358,3.5689631454826682
19.354,3.5681926517787805
19.351,3.567490823866866
19.347,3.566721080971766
19.344,3.566019944586547
19.34,3.565250910042978
19.337,3.5645504312630942
19.334,3.5638502688190123
19.33,3.563082292499785
19.327,3.562382803481291
19.324,3.561683638346817
19.32,3.560916739797065
19.317,3.560218261575158
19.314,3.5595201133800574
19.31,3.5587543091035867
19.307,3.55805685905651
19.304,3.557359762479276
19.3,3.556595110266319
19.297,3.555898774816113
19.294,3.555202805019391
19.29,3.5544393484001646
19.287,3.5537441430550913
19.284,3.553049306016668
19.281,3.552354838929969
19.277,3.5515929801501165
19.274,3.550899282872761
19.271,3.5502059576859724
19.268,3.549513005833475
19.264,3.548752754440894
19.261,3.5480605777091774
19.258,3.5473687748798692
19.255,3.546677347998096
19.252,3.5459862978041405
19.249,3.5452956254950583
19.245,3.544537796697583
19.242,3.5438479093217357
19.239,3.5431584023682525
19.236,3.54246927751054
19.233,3.541780535303886
19.23,3.541092176952089
19.226,3.540336794752702
19.223,3.5396492147071177
19.22,3.538962007119573
19.217,3.538275173303719
19.214,3.5375887149027667
19.211,3.5369026331667976
19.208,3.5362169295175194
19.205,3.5355316054275603
19.202,3.5348466622016534
19.199,3.5341621007513218
19.196,3.5334779227082023
19.193,3.5327941287524327
19.19,3.5321107207659024
19.186,3.531360592405367
19.183,3.530678032713414
